name,degree,aging_neighbors,aging_n/degree,K-core,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient
1B67_HUMAN,0,0,0,0,,,,,,,,,
1B73_HUMAN,0,0,0,0,,,,,,,,,
1B78_HUMAN,0,0,0,0,,,,,,,,,
1B81_HUMAN,0,0,0,0,,,,,,,,,
1B82_HUMAN,0,0,0,0,,,,,,,,,
1C01_HUMAN,0,0,0,0,,,,,,,,,
1C02_HUMAN,0,0,0,0,,,,,,,,,
1C03_HUMAN,0,0,0,0,,,,,,,,,
1C04_HUMAN,0,0,0,0,,,,,,,,,
1C05_HUMAN,0,0,0,0,,,,,,,,,
1C06_HUMAN,0,0,0,0,,,,,,,,,
1C07_HUMAN,0,0,0,0,,,,,,,,,
1C08_HUMAN,0,0,0,0,,,,,,,,,
1C12_HUMAN,0,0,0,0,,,,,,,,,
1C14_HUMAN,0,0,0,0,,,,,,,,,
1C15_HUMAN,0,0,0,0,,,,,,,,,
1C16_HUMAN,0,0,0,0,,,,,,,,,
1C17_HUMAN,0,0,0,0,,,,,,,,,
1C18_HUMAN,0,0,0,0,,,,,,,,,
2A5A_HUMAN,7,1,0.14286,4,4.67030214,0.00022369,0.21411891,0.14285714,9,9.85714286,0.69414149,70502,0.19756839
2A5B_HUMAN,4,1,0.25,4,4.70700074,3.075E-05,0.21244951,0.33333333,9,14.25,0.69108327,9310,0.33333333
2A5D_HUMAN,5,0,0,5,4.26484893,0.00024969,0.23447489,0.1,9,28.4,0.72792926,134800,0.22063492
2A5E_HUMAN,7,1,0.14286,5,4.41164333,0.00037889,0.2266729,0.04761905,8,11.71428571,0.71569639,135300,0.1641791
2A5G_HUMAN,6,2,0.33333,5,4.09521002,0.00024412,0.24418772,0.4,8,37.5,0.74206583,99194,0.20491803
2AAA_HUMAN,18,3,0.16667,5,3.95475313,0.00259097,0.25286028,0.08496732,8,15.66666667,0.75377057,844810,0.06875934
2AAB_HUMAN,8,0,0,5,4.63036109,0.00033791,0.21596588,0.28571429,9,8.25,0.69746991,146110,0.19817073
2ABA_HUMAN,2,0,0,2,4.95431098,0,0.20184441,1,9,13,0.67047408,0,0.68421053
2ABB_HUMAN,3,1,0.33333,2,4.93721444,1.666E-05,0.20254336,0,9,8.33333333,0.6718988,6504,0.36666667
2ABD_HUMAN,0,0,0,0,,,,,,,,,
2ABG_HUMAN,1,0,0,1,4.98084009,0,0.20076934,0,9,20,0.66826333,0,0
2B11_HUMAN,0,0,0,0,,,,,,,,,
2B13_HUMAN,0,0,0,0,,,,,,,,,
2B14_HUMAN,0,0,0,0,,,,,,,,,
2B17_HUMAN,0,0,0,0,,,,,,,,,
2B18_HUMAN,0,0,0,0,,,,,,,,,
2B19_HUMAN,0,0,0,0,,,,,,,,,
2B1A_HUMAN,0,0,0,0,,,,,,,,,
2B1B_HUMAN,0,0,0,0,,,,,,,,,
2B1C_HUMAN,0,0,0,0,,,,,,,,,
2B1D_HUMAN,0,0,0,0,,,,,,,,,
2B1E_HUMAN,0,0,0,0,,,,,,,,,
2B1F_HUMAN,0,0,0,0,,,,,,,,,
2B1G_HUMAN,0,0,0,0,,,,,,,,,
3BHS1_HUMAN,0,0,0,0,,,,,,,,,
3BHS2_HUMAN,0,0,0,0,,,,,,,,,
3BHS7_HUMAN,6,0,0,6,4.03257185,2.64E-06,0.2479807,0.8,8,130.16666667,0.74728568,7202,0.33376068
3BP1_HUMAN,2,1,0.5,2,4.7596168,1.863E-05,0.21010095,0,9,37.5,0.6866986,5938,0.50694444
3BP2_HUMAN,6,0,0,4,4.42240236,0.0001097,0.22612144,0,8,15.83333333,0.7147998,37836,0.1765873
3BP5L_HUMAN,0,0,0,0,,,,,,,,,
3BP5_HUMAN,1,0,0,1,5.32232867,0,0.18788768,0,10,8,0.63980594,0,0
3HAO_HUMAN,2,0,0,2,4.96610169,0.00010611,0.20136519,0,9,20,0.66949153,22356,0.5
3HIDH_HUMAN,0,0,0,0,,,,,,,,,
3MG_HUMAN,2,0,0,2,4.90464259,3.58E-06,0.20388845,0,9,8.5,0.67461312,1406,0.5
41_HUMAN,0,0,0,0,,,,,,,,,
4EBP1_HUMAN,6,1,0.16667,4,4.01149595,0.0011384,0.24928356,0.06666667,8,51.83333333,0.749042,442494,0.19986979
4EBP2_HUMAN,1,0,0,1,4.95976419,0,0.20162249,0,9,13,0.67001965,0,0
4EBP3_HUMAN,2,0,0,2,4.88666175,2.192E-05,0.20463868,0,9,11.5,0.67611152,4848,0.5
4ET_HUMAN,12,0,0,8,4.09182019,0.00014159,0.24439002,0.01515152,9,17.16666667,0.74234832,110730,0.10606061
4F2_HUMAN,0,0,0,0,,,,,,,,,
5HT1A_HUMAN,1,1,1,1,5.17302874,0,0.19331035,0,9,11,0.65224761,0,0
5HT1B_HUMAN,1,0,0,1,4.58924097,0,0.21790096,0,9,132,0.70089659,0,0
5HT1D_HUMAN,0,0,0,0,,,,,,,,,
5HT1E_HUMAN,0,0,0,0,,,,,,,,,
5HT1F_HUMAN,0,0,0,0,,,,,,,,,
5HT2A_HUMAN,0,0,0,0,,,,,,,,,
5HT2B_HUMAN,0,0,0,0,,,,,,,,,
5HT2C_HUMAN,0,0,0,0,,,,,,,,,
5HT3A_HUMAN,2,0,0,1,1,1,1,0,1,1,1,2,0
5HT3B_HUMAN,0,0,0,0,,,,,,,,,
5HT3C_HUMAN,1,0,0,1,1.5,0,0.66666667,0,2,2,0.75,0,0
5HT3D_HUMAN,1,0,0,1,1.5,0,0.66666667,0,2,2,0.75,0,0
5HT3E_HUMAN,0,0,0,0,,,,,,,,,
5HT4R_HUMAN,0,0,0,0,,,,,,,,,
5HT5A_HUMAN,0,0,0,0,,,,,,,,,
5HT6R_HUMAN,1,0,0,1,4.9146647,0,0.20347268,0,9,26,0.67377794,0,0
5HT7R_HUMAN,0,0,0,0,,,,,,,,,
5NT1A_HUMAN,1,0,0,1,4.30420044,0,0.23233119,0,8,77,0.72464996,0,0
5NT1B_HUMAN,0,0,0,0,,,,,,,,,
5NT3A_HUMAN,0,0,0,0,,,,,,,,,
5NT3B_HUMAN,1,1,1,1,5.05423729,0,0.19785379,0,9,19,0.66214689,0,0
5NTC_HUMAN,8,1,0.125,5,4.01326455,0.00043765,0.24917371,0,8,27.625,0.74889462,192880,0.13515228
5NTD_HUMAN,0,0,0,0,,,,,,,,,
68MP_HUMAN,0,0,0,0,,,,,,,,,
6PGD_HUMAN,0,0,0,0,,,,,,,,,
6PGL_HUMAN,1,0,0,1,4.75991157,0,0.21008794,0,9,67,0.68667404,0,0
7B2_HUMAN,1,0,0,1,4.86897568,0,0.20538201,0,9,74,0.67758536,0,0
8ODP_HUMAN,0,0,0,0,,,,,,,,,
A14EL_HUMAN,0,0,0,0,,,,,,,,,
A16A1_HUMAN,1,0,0,1,1,0,1,0,1,1,1,0,0
A16L1_HUMAN,5,0,0,4,4.4651437,0.00035722,0.22395696,0,8,22,0.71123803,257250,0.36206897
A16L2_HUMAN,0,0,0,0,,,,,,,,,
A1AG1_HUMAN,1,1,1,1,5.59734709,0,0.17865606,0,10,4,0.61688774,0,0
A1AG2_HUMAN,0,0,0,0,,,,,,,,,
A1ATR_HUMAN,0,0,0,0,,,,,,,,,
A1AT_HUMAN,1,0,0,1,7.09771555,0,0.1408904,0,11,2,0.49185704,0,0
A1BG_HUMAN,0,0,0,0,,,,,,,,,
A1CF_HUMAN,3,0,0,3,4.09108327,5.608E-05,0.24443404,0,9,96.33333333,0.74240973,60380,0.35705368
A2012_HUMAN,0,0,0,0,,,,,,,,,
A20A1_HUMAN,0,0,0,0,,,,,,,,,
A20A2_HUMAN,0,0,0,0,,,,,,,,,
A20A3_HUMAN,0,0,0,0,,,,,,,,,
A20A4_HUMAN,0,0,0,0,,,,,,,,,
A20A5_HUMAN,0,0,0,0,,,,,,,,,
A26L1_HUMAN,15,0,0,12,3.61164333,0.00112029,0.27688227,0.03809524,8,96.8,0.78236306,1439432,0.11920694
A2AP_HUMAN,0,0,0,0,,,,,,,,,
A2GL_HUMAN,0,0,0,0,,,,,,,,,
A2MG_HUMAN,0,0,0,0,,,,,,,,,
A2ML1_HUMAN,0,0,0,0,,,,,,,,,
A30BL_HUMAN,0,0,0,0,,,,,,,,,
A3LT2_HUMAN,0,0,0,0,,,,,,,,,
A4AS1_HUMAN,0,0,0,0,,,,,,,,,
A4GAT_HUMAN,0,0,0,0,,,,,,,,,
A4GCT_HUMAN,0,0,0,0,,,,,,,,,
A4_HUMAN,30,8,0.26667,6,3.98098747,0.0076908,0.25119396,0.0091954,8,6.23333333,0.75158438,2142082,0.03900709
A7L3B_HUMAN,0,0,0,0,,,,,,,,,
AA1R_HUMAN,1,0,0,1,5.86529108,0,0.17049452,0,10,6,0.59455908,0,0
AA2AR_HUMAN,6,0,0,3,4.86543847,0.00082861,0.20553132,0,9,5.66666667,0.67788013,297752,0.17283951
AA2BR_HUMAN,0,0,0,0,,,,,,,,,
AA3R_HUMAN,0,0,0,0,,,,,,,,,
AAA1_HUMAN,0,0,0,0,,,,,,,,,
AAAD_HUMAN,0,0,0,0,,,,,,,,,
AAAS_HUMAN,0,0,0,0,,,,,,,,,
AAAT_HUMAN,1,0,0,1,5.32129698,0,0.18792411,0,10,22,0.63989192,0,0
AACS_HUMAN,1,0,0,1,4.77568165,0,0.20939419,0,9,37,0.68535986,0,0
AACT_HUMAN,1,0,0,1,1,0,1,0,1,1,1,0,0
AADAT_HUMAN,0,0,0,0,,,,,,,,,
AAED1_HUMAN,0,0,0,0,,,,,,,,,
AAGAB_HUMAN,2,0,0,1,1,1,1,0,1,1,1,2,0
AAK1_HUMAN,1,0,0,1,5.64775239,0,0.17706159,0,10,7,0.6126873,0,0
AAKB1_HUMAN,4,1,0.25,4,4.00353721,4.608E-05,0.24977912,0.33333333,8,44,0.74970523,31792,0.28225806
AAKB2_HUMAN,41,0,0,12,3.47074429,0.00650665,0.28812264,0.06707317,8,54.07317073,0.79410464,5126050,0.05533646
AAKG1_HUMAN,9,0,0,6,3.95902727,0.00018633,0.2525873,0.13888889,8,26.88888889,0.75341439,89588,0.13561254
AAKG2_HUMAN,0,0,0,0,,,,,,,,,
AAKG3_HUMAN,0,0,0,0,,,,,,,,,
AAMDC_HUMAN,2,0,0,2,4.38187178,0,0.22821298,1,9,26.5,0.71817735,0,0.51960784
AAMP_HUMAN,0,0,0,0,,,,,,,,,
AAPK1_HUMAN,31,0,0,11,3.46941783,0.00427519,0.2882328,0.05376344,8,52.64516129,0.79421518,2825316,0.05584053
AAPK2_HUMAN,25,0,0,11,3.56993368,0.00403435,0.28011725,0.05,8,49.8,0.78583886,2221872,0.05911377
AAR2_HUMAN,0,0,0,0,,,,,,,,,
AARD_HUMAN,0,0,0,0,,,,,,,,,
AAS1_HUMAN,0,0,0,0,,,,,,,,,
AASD1_HUMAN,0,0,0,0,,,,,,,,,
AASS_HUMAN,0,0,0,0,,,,,,,,,
AATC2_HUMAN,0,0,0,0,,,,,,,,,
AATC_HUMAN,0,0,0,0,,,,,,,,,
AATF_HUMAN,5,4,0.8,4,4.34532056,0.00045268,0.23013262,0,8,17.4,0.72122329,119202,0.20759494
AATM_HUMAN,0,0,0,0,,,,,,,,,
AB12B_HUMAN,0,0,0,0,,,,,,,,,
AB17A_HUMAN,1,0,0,1,6.17273397,0,0.16200277,0,10,2,0.56893884,0,0
AB17B_HUMAN,0,0,0,0,,,,,,,,,
AB17C_HUMAN,0,0,0,0,,,,,,,,,
AB1IP_HUMAN,1,0,0,1,4.80633751,0,0.20805863,0,9,25,0.68280521,0,0
ABC3A_HUMAN,0,0,0,0,,,,,,,,,
ABC3B_HUMAN,0,0,0,0,,,,,,,,,
ABC3C_HUMAN,3,0,0,3,4.80899042,4E-07,0.20794385,0.66666667,9,15.33333333,0.68258413,426,0.58974359
ABC3D_HUMAN,0,0,0,0,,,,,,,,,
ABC3F_HUMAN,0,0,0,0,,,,,,,,,
ABC3G_HUMAN,0,0,0,0,,,,,,,,,
ABC3H_HUMAN,0,0,0,0,,,,,,,,,
ABCA1_HUMAN,7,1,0.14286,3,4.79071481,0.00077442,0.20873712,0,9,5.14285714,0.6841071,387792,0.14285714
ABCA2_HUMAN,0,0,0,0,,,,,,,,,
ABCA3_HUMAN,0,0,0,0,,,,,,,,,
ABCA4_HUMAN,0,0,0,0,,,,,,,,,
ABCA5_HUMAN,0,0,0,0,,,,,,,,,
ABCA6_HUMAN,0,0,0,0,,,,,,,,,
ABCA7_HUMAN,0,0,0,0,,,,,,,,,
ABCA8_HUMAN,0,0,0,0,,,,,,,,,
ABCA9_HUMAN,0,0,0,0,,,,,,,,,
ABCAA_HUMAN,0,0,0,0,,,,,,,,,
ABCAB_HUMAN,0,0,0,0,,,,,,,,,
ABCAC_HUMAN,1,0,0,1,5.79056743,0,0.17269465,0,10,7,0.60078605,0,0
ABCAD_HUMAN,0,0,0,0,,,,,,,,,
ABCB5_HUMAN,0,0,0,0,,,,,,,,,
ABCB6_HUMAN,0,0,0,0,,,,,,,,,
ABCB7_HUMAN,0,0,0,0,,,,,,,,,
ABCB8_HUMAN,0,0,0,0,,,,,,,,,
ABCB9_HUMAN,0,0,0,0,,,,,,,,,
ABCBA_HUMAN,0,0,0,0,,,,,,,,,
ABCBB_HUMAN,0,0,0,0,,,,,,,,,
ABCC8_HUMAN,0,0,0,0,,,,,,,,,
ABCC9_HUMAN,0,0,0,0,,,,,,,,,
ABCCB_HUMAN,0,0,0,0,,,,,,,,,
ABCCD_HUMAN,0,0,0,0,,,,,,,,,
ABCD1_HUMAN,2,0,0,2,6.17759764,0,0.16187522,1,10,8.5,0.56853353,0,0.56666667
ABCD2_HUMAN,0,0,0,0,,,,,,,,,
ABCD3_HUMAN,2,0,0,2,6.17759764,0,0.16187522,1,10,8.5,0.56853353,0,0.56666667
ABCD4_HUMAN,0,0,0,0,,,,,,,,,
ABCE1_HUMAN,0,0,0,0,,,,,,,,,
ABCF1_HUMAN,0,0,0,0,,,,,,,,,
ABCF2_HUMAN,0,0,0,0,,,,,,,,,
ABCF3_HUMAN,2,0,0,2,4.19837878,5.65E-06,0.23818718,0,9,78.5,0.73346844,1928,0.50324675
ABCG1_HUMAN,0,0,0,0,,,,,,,,,
ABCG2_HUMAN,1,0,0,1,4.54134119,0,0.22019927,0,9,49,0.70488823,0,0
ABCG4_HUMAN,0,0,0,0,,,,,,,,,
ABCG5_HUMAN,2,0,0,1,4.58761975,0.00029477,0.21797796,0,8,56,0.70103169,108962,0.5
ABCG8_HUMAN,1,0,0,1,5.58747237,0,0.1789718,0,9,2,0.61771064,0,0
ABD12_HUMAN,0,0,0,0,,,,,,,,,
ABD18_HUMAN,0,0,0,0,,,,,,,,,
ABEC1_HUMAN,0,0,0,0,,,,,,,,,
ABEC2_HUMAN,0,0,0,0,,,,,,,,,
ABEC4_HUMAN,0,0,0,0,,,,,,,,,
ABH15_HUMAN,0,0,0,0,,,,,,,,,
ABHD1_HUMAN,1,0,0,1,4.72704495,0,0.21154865,0,9,62,0.68941292,0,0
ABHD2_HUMAN,0,0,0,0,,,,,,,,,
ABHD3_HUMAN,0,0,0,0,,,,,,,,,
ABHD4_HUMAN,0,0,0,0,,,,,,,,,
ABHD5_HUMAN,0,0,0,0,,,,,,,,,
ABHD6_HUMAN,0,0,0,0,,,,,,,,,
ABHD8_HUMAN,0,0,0,0,,,,,,,,,
ABHDA_HUMAN,0,0,0,0,,,,,,,,,
ABHDB_HUMAN,0,0,0,0,,,,,,,,,
ABHDD_HUMAN,0,0,0,0,,,,,,,,,
ABHEA_HUMAN,0,0,0,0,,,,,,,,,
ABHEB_HUMAN,0,0,0,0,,,,,,,,,
ABHGA_HUMAN,2,0,0,2,5.12969786,1.956E-05,0.19494326,0,9,13.5,0.65585851,5240,0.5
ABHGB_HUMAN,0,0,0,0,,,,,,,,,
ABI1_HUMAN,12,3,0.25,6,4.27885041,0.00246397,0.23370763,0.03030303,8,15.66666667,0.72676247,1113418,0.11450382
ABI2_HUMAN,35,2,0.05714,11,3.46175387,0.00396011,0.28887091,0.06554622,8,35.62857143,0.79485384,2050684,0.04533284
ABI3_HUMAN,20,1,0.05,9,3.766986,0.00198547,0.26546422,0.02631579,8,21.4,0.76941783,873240,0.06268882
ABL1_HUMAN,32,6,0.1875,8,3.63286662,0.00601442,0.27526472,0.0625,8,24.84375,0.78059445,2149596,0.04643195
ABL2_HUMAN,15,4,0.26667,9,3.80957996,0.00120486,0.26249613,0.32380952,8,48.66666667,0.76586834,594020,0.11224018
ABLM1_HUMAN,2,0,0,2,4.26411201,5.3E-07,0.23451542,0,8,43.5,0.72799067,780,0.52469136
ABLM2_HUMAN,0,0,0,0,,,,,,,,,
ABLM3_HUMAN,2,0,0,2,4.21783346,2.1E-06,0.23708855,0,9,64,0.73184721,3846,0.53389831
ABRAL_HUMAN,0,0,0,0,,,,,,,,,
ABRA_HUMAN,0,0,0,0,,,,,,,,,
ABR_HUMAN,0,0,0,0,,,,,,,,,
ABT1_HUMAN,6,1,0.16667,6,3.93146647,0.00073464,0.25435801,0.2,8,70.83333333,0.75571113,344896,0.19315068
ABTB1_HUMAN,2,0,0,1,4.99867354,0.00058945,0.20005307,0,9,10,0.6667772,257984,0.5
ABTB2_HUMAN,0,0,0,0,,,,,,,,,
ACACA_HUMAN,3,2,0.66667,2,4.50287399,6.629E-05,0.22208039,0,8,23.66666667,0.70809383,18812,0.33830846
ACACB_HUMAN,1,0,0,1,6.3229182,0,0.15815482,0,10,2,0.55642348,0,0
ACAD8_HUMAN,0,0,0,0,,,,,,,,,
ACAD9_HUMAN,0,0,0,0,,,,,,,,,
ACADL_HUMAN,0,0,0,0,,,,,,,,,
ACADM_HUMAN,0,0,0,0,,,,,,,,,
ACADS_HUMAN,0,0,0,0,,,,,,,,,
ACADV_HUMAN,0,0,0,0,,,,,,,,,
ACAP1_HUMAN,1,1,1,1,4.2366986,0,0.23603284,0,9,111,0.73027512,0,0
ACAP2_HUMAN,0,0,0,0,,,,,,,,,
ACAP3_HUMAN,0,0,0,0,,,,,,,,,
ACATN_HUMAN,0,0,0,0,,,,,,,,,
ACBD4_HUMAN,0,0,0,0,,,,,,,,,
ACBD5_HUMAN,0,0,0,0,,,,,,,,,
ACBD6_HUMAN,0,0,0,0,,,,,,,,,
ACBD7_HUMAN,0,0,0,0,,,,,,,,,
ACBG1_HUMAN,0,0,0,0,,,,,,,,,
ACBG2_HUMAN,0,0,0,0,,,,,,,,,
ACBP_HUMAN,0,0,0,0,,,,,,,,,
ACD10_HUMAN,0,0,0,0,,,,,,,,,
ACD11_HUMAN,0,0,0,0,,,,,,,,,
ACDSB_HUMAN,0,0,0,0,,,,,,,,,
ACD_HUMAN,21,1,0.04762,4,4.23522476,0.00536211,0.23611498,0.0047619,8,7.95238095,0.73039794,1555680,0.04963112
ACE2_HUMAN,0,0,0,0,,,,,,,,,
ACER1_HUMAN,0,0,0,0,,,,,,,,,
ACER2_HUMAN,0,0,0,0,,,,,,,,,
ACER3_HUMAN,0,0,0,0,,,,,,,,,
ACES_HUMAN,3,0,0,2,4.9806927,0.00030311,0.20077529,0,9,6.33333333,0.66827561,86098,0.33333333
ACE_HUMAN,0,0,0,0,,,,,,,,,
ACH10_HUMAN,0,0,0,0,,,,,,,,,
ACHA2_HUMAN,0,0,0,0,,,,,,,,,
ACHA3_HUMAN,0,0,0,0,,,,,,,,,
ACHA4_HUMAN,0,0,0,0,,,,,,,,,
ACHA5_HUMAN,1,0,0,1,1,0,1,0,1,1,1,0,0
ACHA6_HUMAN,0,0,0,0,,,,,,,,,
ACHA7_HUMAN,0,0,0,0,,,,,,,,,
ACHA9_HUMAN,0,0,0,0,,,,,,,,,
ACHA_HUMAN,0,0,0,0,,,,,,,,,
ACHB2_HUMAN,1,0,0,1,1,0,1,0,1,1,1,0,0
ACHB3_HUMAN,0,0,0,0,,,,,,,,,
ACHB4_HUMAN,0,0,0,0,,,,,,,,,
ACHB_HUMAN,0,0,0,0,,,,,,,,,
ACHD_HUMAN,0,0,0,0,,,,,,,,,
ACHE_HUMAN,0,0,0,0,,,,,,,,,
ACHG_HUMAN,5,0,0,5,3.99469418,1.053E-05,0.25033205,0.6,8,163.2,0.75044215,66020,0.36465324
ACINU_HUMAN,1,0,0,1,4.85482682,0,0.20598057,0,9,7,0.67876443,0,0
ACK1_HUMAN,7,0,0,5,4.05084746,0.00056484,0.24686192,0.04761905,9,38.14285714,0.74576271,224758,0.15153268
ACKR1_HUMAN,0,0,0,0,,,,,,,,,
ACKR2_HUMAN,0,0,0,0,,,,,,,,,
ACKR3_HUMAN,0,0,0,0,,,,,,,,,
ACKR4_HUMAN,0,0,0,0,,,,,,,,,
ACL10_HUMAN,0,0,0,0,,,,,,,,,
ACL6A_HUMAN,1,0,0,1,5.56271186,0,0.17976843,0,10,8,0.61977401,0,0
ACL6B_HUMAN,0,0,0,0,,,,,,,,,
ACL7A_HUMAN,1,0,0,1,6.74753132,0,0.14820235,0,11,2,0.52103906,0,0
ACL7B_HUMAN,0,0,0,0,,,,,,,,,
ACLY_HUMAN,0,0,0,0,,,,,,,,,
ACM1_HUMAN,0,0,0,0,,,,,,,,,
ACM2_HUMAN,0,0,0,0,,,,,,,,,
ACM3_HUMAN,1,0,0,1,1,0,1,0,1,1,1,0,0
ACM4_HUMAN,0,0,0,0,,,,,,,,,
ACM5_HUMAN,0,0,0,0,,,,,,,,,
ACMSD_HUMAN,0,0,0,0,,,,,,,,,
ACO11_HUMAN,0,0,0,0,,,,,,,,,
ACO12_HUMAN,0,0,0,0,,,,,,,,,
ACO13_HUMAN,0,0,0,0,,,,,,,,,
ACO15_HUMAN,0,0,0,0,,,,,,,,,
ACOC_HUMAN,2,0,0,2,5.63699337,2.15E-06,0.17739953,0,10,5.5,0.61358389,646,0.5625
ACOD_HUMAN,0,0,0,0,,,,,,,,,
ACON_HUMAN,0,0,0,0,,,,,,,,,
ACOT1_HUMAN,0,0,0,0,,,,,,,,,
ACOT2_HUMAN,0,0,0,0,,,,,,,,,
ACOT4_HUMAN,0,0,0,0,,,,,,,,,
ACOT6_HUMAN,0,0,0,0,,,,,,,,,
ACOT8_HUMAN,2,1,0.5,2,4.27266028,0.00016881,0.23404622,0,9,73.5,0.72727831,74614,0.5
ACOT9_HUMAN,0,0,0,0,,,,,,,,,
ACOX1_HUMAN,0,0,0,0,,,,,,,,,
ACOX2_HUMAN,0,0,0,0,,,,,,,,,
ACOX3_HUMAN,0,0,0,0,,,,,,,,,
ACOXL_HUMAN,0,0,0,0,,,,,,,,,
ACP7_HUMAN,0,0,0,0,,,,,,,,,
ACPH_HUMAN,2,0,0,2,4.99513633,3.61E-06,0.20019474,0,9,4.5,0.66707197,1476,0.5
ACPM_HUMAN,0,0,0,0,,,,,,,,,
ACRBP_HUMAN,0,0,0,0,,,,,,,,,
ACRC_HUMAN,0,0,0,0,,,,,,,,,
ACRO_HUMAN,0,0,0,0,,,,,,,,,
ACS2A_HUMAN,0,0,0,0,,,,,,,,,
ACS2B_HUMAN,0,0,0,0,,,,,,,,,
ACS2L_HUMAN,1,0,0,1,4.87442889,0,0.20515224,0,9,38,0.67713093,0,0
ACSA_HUMAN,0,0,0,0,,,,,,,,,
ACSF2_HUMAN,3,0,0,3,4.50582167,1.454E-05,0.2219351,0,9,41.33333333,0.70784819,19910,0.4384058
ACSF3_HUMAN,0,0,0,0,,,,,,,,,
ACSF4_HUMAN,0,0,0,0,,,,,,,,,
ACSL1_HUMAN,0,0,0,0,,,,,,,,,
ACSL3_HUMAN,0,0,0,0,,,,,,,,,
